"companyname","list_of_revenue","list_of_operatingincome","list_of_netincome"
"fico.com",881.36,169.59,109.45
"akamai.com",2340.05,459.59,316.13
"exlservice.com",685.99,64.22,61.73
"thomsonreuters.com",11166,1390,3098
"performantcorp.com",141.36,-7.93,-11.45
"sap.com",22062,5135,3647
"interpublic.com",7846.6,898.3,608.5
"natera.com",217.07,-96.49,-95.77
"aciworldwide.com",1005.7,221.13,129.53
"deluxe.com",1849.06,360.87,229.38
"mattersight.com",42.1,-18.65,-20.98
"bazaarvoice.com",199.77,-23.01,-25.34
"acxiom.com",850.09,-13.06,6.7
"neustar.biz",1209.85,285.67,168.65
"factset.com",1127.09,462.13,338.81
"attunity.com",54.49,-11.37,-10.69
"corelogic.com",1952.56,224.53,106.55
"crossroads.com",0.67,-5.42,-0.72
"prospricing.com",153.28,-65.4,-75.22
"costargroup.com",837.63,144.91,85.07
"lionbridge.com",559.98,13.75,14.24
"sysorex.com",66.96,-11.53,-11.72
"verisk.com",1995.2,767.6,591.2
"startek.com",307.2,2.86,0.4
"tremorvideo.com",166.76,-20.58,-20.95
"techtarget.com",106.62,6.79,2.42
"nciinc.com",322.41,16.81,9.48
"omnicell.com",692.62,6.48,0.6
"dynavax.com",11.04,-110.71,-112.44
"inwk.com",1090.7,29.98,4.37
"ibm.com",79919,10699,11872
"hartehanks.com",495.3,-197.08,-170.93
"liveperson.com",222.78,-19.41,-25.87
"intercloudsys.com",78,-28.12,-26.48
"opgen.com",4.03,-19.01,-19.17
"zebra.com",3574,80,-137
"epizyme.com",8.01,-111.83,-110.21
"microstrategy.com",512.16,107.62,90.91
"newrelic.com",181.31,-67.64,-67.49
"xactlycorp.com",95.46,-16.21,-16.91
"gpstrategies.com",436.69,38.35,23.76
"maxpoint.com",149.11,-16.81,-17.85
"delta.com",39639,6952,4373
"prgx.com",140.84,3.28,0.91
"rocketfuel.com",456.26,-57.72,-65.69
"aerohive.com",169.82,-36.81,-36.91
"alliancedata.com",7138.1,1265.5,432.3
"adobe.com",5854.43,1493.6,1168.78
"cognizant.com",13487,2289,1553
"clearchanneloutdoor.com",2702.39,637.53,141.43
"calliduscloud.com",206.72,-17.45,-18.97
"hubspot.com",270.97,-44.66,-45.56
"rapid7.com",157.44,-49.05,-49
"hortonworks.com",184.46,-251.18,-251.69
"echo.com",1716.15,15.61,1.59
"splunk.com",949.96,-343.83,-355.19
"salesforce.com",8391.98,61.74,179.63
