id,created_at,text
418996635549454336,2014-01-03 06:45:57,"b""So much for my HIMYM marathon viewing session. Guess I'll go to bed. Get it together Netflix. And Amazon."""
418996438257790976,2014-01-03 06:45:10,"b""Ugh. RT: @GilFalso Looks like Amazon's cloud storage is currently down. This explains Netflix and other outages - http://t.co/u7iNtsAh33 \xe2\x80\xa6"""
405945567110369281,2013-11-28 06:25:39,b'Before I turn 30 I wanna... Finish training and run the NYC Marathon! @paddywhiskeyus #swy30'
391687571316568064,2013-10-19 22:09:28,"b'Finally - looks like Chromecast might make it outside of the US! Thanks for the tip, @GilFalso! http://t.co/5ui5akYKGE'"
364037857251295233,2013-08-04 14:59:23,"b""@GilFalso You yanks and your university football and sports obsessions. Something I just don't get. As you were."""
356822382935154689,2013-07-15 17:07:40,"b""Book by obscure unknown author flies off the shelf once readers become aware it is work of Harry Potter's Rowling - http://t.co/jJ4o10yFZi"""
355738849848205312,2013-07-12 17:22:05,"b'Train crash outside of Paris, France. 8 lives lost, officials still working through wreckage: http://t.co/D35VDYtoBH'"
346167727481831425,2013-06-16 07:29:52,b'News on the European Parliament this morning includes my article on the eCall system for autos - http://t.co/ocgBr9B5fA'
345906848282583040,2013-06-15 14:13:13,"b'In Europe, mobile-connected cars may be required from 2015 - http://t.co/V7oVzfBfP3'"
345722995685330944,2013-06-15 02:02:40,"b'@GilFalso Not natively. My friend has some VPN set up he uses, have watched a movie or two that way, but no, not available for me!'"
345722375263903744,2013-06-15 02:00:12,"b'@GilFalso Jen has it on their Wii, and I tried to use earlier tonight! Thought I had been doing it wrong for 20 mins until I check Twitter!'"
345617059465555968,2013-06-14 19:01:42,"b'In Europe, regulators work to abolish mobile phone roaming between countries - http://t.co/DlubhftG0O | via @TheSocialZoo'"
345600279523233793,2013-06-14 17:55:02,b'iOS 7 shown how it will look on iPad - http://t.co/V1EXQEyVAb'
345265675268395008,2013-06-13 19:45:26,"b'RT @HuffPostItalia #Francesco, un #Papa off the record. Il blog di Massimo Faggioli - http://t.co/EZbXCLH1yB'"
345070629977985025,2013-06-13 06:50:23,"b'@GilFalso Ok, I am here now, and tweeting at you to prove it!'"
345069626838896640,2013-06-13 06:46:24,"b'Here because my new job says Twitter participation is a ""good idea"". Up to now, I\'ve only read, not participated in Twitter.'"
